"local_electoral","fecha_recepcion_trep","codigo_candidatura","numero_mesa","numero_lista","total_votos","total_votantes","tiempo_estimado_hora"
"0_0_1_8","2023-04-30 17:42:42.859",1,6,911,45,307,15
"0_0_1_8","2023-04-30 17:42:42.859",1,6,3,60,307,15
"9_23_0_2","2023-04-30 17:42:50.086",1,3,911,29,313,15
"9_23_0_2","2023-04-30 17:42:50.086",1,3,1,230,313,15
"9_23_0_2","2023-04-30 17:42:50.086",1,3,3,37,313,15
"0_0_3_26","2023-04-30 17:42:53.729",1,7,911,35,302,15
"0_0_3_26","2023-04-30 17:42:53.729",1,7,1,141,302,15
"0_0_3_26","2023-04-30 17:42:53.729",1,7,3,102,302,15
"0_0_6_3","2023-04-30 17:42:56.015",1,3,3,78,312,15
"0_0_6_3","2023-04-30 17:42:56.015",1,3,1,148,312,15
"0_0_6_3","2023-04-30 17:42:56.015",1,3,911,61,312,15
"0_0_3_19","2023-04-30 17:43:14.699",1,6,1,179,301,15
"0_0_3_19","2023-04-30 17:43:14.699",1,6,911,22,301,15
"0_0_3_19","2023-04-30 17:43:14.699",1,6,3,83,301,15
"13_3_0_6","2023-04-30 17:43:31.254",1,1,3,81,308,15
"13_3_0_6","2023-04-30 17:43:31.254",1,1,1,155,308,15
"13_3_0_6","2023-04-30 17:43:31.254",1,1,911,56,308,15
"0_0_4_29","2023-04-30 17:43:40.749",1,3,3,73,304,15
"0_0_4_29","2023-04-30 17:43:40.749",1,3,1,159,304,15
"0_0_4_29","2023-04-30 17:43:40.749",1,3,911,43,304,15
"3_7_0_3","2023-04-30 17:43:54.307",1,4,3,131,306,15
"3_7_0_3","2023-04-30 17:43:54.307",1,4,1,126,306,15
"3_7_0_3","2023-04-30 17:43:54.307",1,4,911,41,306,15
"12_0_0_2","2023-04-30 17:43:56.017",1,10,3,93,301,15
"12_0_0_2","2023-04-30 17:43:56.017",1,10,1,128,301,15
"12_0_0_2","2023-04-30 17:43:56.017",1,10,911,52,301,15
"0_0_3_23","2023-04-30 17:44:29.166",1,5,3,79,304,15
"0_0_3_23","2023-04-30 17:44:29.166",1,5,1,166,304,15
"0_0_3_23","2023-04-30 17:44:29.166",1,5,911,37,304,15
"0_0_4_13","2023-04-30 17:44:29.614",1,6,3,107,312,15
"0_0_4_13","2023-04-30 17:44:29.614",1,6,1,153,312,15
"0_0_4_13","2023-04-30 17:44:29.614",1,6,911,36,312,15
"0_0_4_20","2023-04-30 17:44:53.02",1,3,1,164,305,15
"0_0_4_20","2023-04-30 17:44:53.02",1,3,911,34,305,15
"0_0_4_20","2023-04-30 17:44:53.02",1,3,3,81,305,15
"3_7_0_3","2023-04-30 17:44:59.567",1,6,3,114,306,15
"3_7_0_3","2023-04-30 17:44:59.567",1,6,1,147,306,15
"3_7_0_3","2023-04-30 17:44:59.567",1,6,911,34,306,15
"3_7_0_1","2023-04-30 17:45:30.24",1,7,911,34,302,15
"3_7_0_1","2023-04-30 17:45:30.24",1,7,3,110,302,15
"3_7_0_1","2023-04-30 17:45:30.24",1,7,1,151,302,15
"11_3_0_9","2023-04-30 17:45:39.169",1,2,911,68,302,15
"11_3_0_9","2023-04-30 17:45:39.169",1,2,1,98,302,15
"11_3_0_9","2023-04-30 17:45:39.169",1,2,3,117,302,15
"10_0_0_23","2023-04-30 17:46:01.798",1,3,911,102,306,15
"10_0_0_23","2023-04-30 17:46:01.798",1,3,3,45,306,15
"10_0_0_23","2023-04-30 17:46:01.798",1,3,1,140,306,15
